,name,album,artists,year,release_date
,"Symphonic Dances, Op. 45: III. Lento assai - Allegro vivace - Lento assai - Come prima - Allegro vivace",30th Anniversary Sampler,"Sergei Rachmaninoff, Minnesota Orchestra, Eiji Oue",2015,2015-04-01
,"Paraphrase de concert sur Rigoletto, S. 434: Verdi - Rigoletto: Paraphrase de concert, S434  R267",30th Anniversary Sampler,"Franz Liszt, Joel Fan",2015,2015-04-01
,"In Praise of Music: No. 5. For the Angel, ""Israfel""",30th Anniversary Sampler,"Dominick Argento, Minnesota Orchestra, Eiji Oue",2015,2015-04-01
,An American Requiem: Dies Irae,30th Anniversary Sampler,"Richard Danielpour, Pacific Chorale, Pacific Symphony Orchestra, Carl St. Clair",2015,2015-04-01
,Concerto Nicolo (excerpt),30th Anniversary Sampler,"Stanisław Skrowaczewski, Gary Graffman, Minnesota Orchestra",2015,2015-04-01
,Ikon of Eros (excerpt),30th Anniversary Sampler,"John Tavener, Minnesota Chorale, Jorja Fleezanis, Minnesota Orchestra, Paul Goodwin",2015,2015-04-01
,"Prelude in D Major, BWV 532",30th Anniversary Sampler,"Johann Sebastian Bach, Virgil Fox",2015,2015-04-01
,3 Gymnopedies: No. 1. Lent et douloureux (orch. Debussy),30th Anniversary Sampler,"Erik Satie, Claude Debussy, Minnesota Orchestra, Eiji Oue",2015,2015-04-01
,"Pini di Roma (Pines of Rome), P. 141",30th Anniversary Sampler,"Ottorino Respighi, Minnesota Orchestra, Eiji Oue",2015,2015-04-01
,Tears,Greatest Hits,Pure Prairie League,1999,1999-09-14
,Youre Between Me,Greatest Hits,Pure Prairie League,1999,1999-09-14
,Its All on Me,Greatest Hits,Pure Prairie League,1999,1999-09-14
,Woman,Greatest Hits,Pure Prairie League,1999,1999-09-14
,Falling in and out of Love,Greatest Hits,Pure Prairie League,1999,1999-09-14
,Amie,Greatest Hits,Pure Prairie League,1999,1999-09-14
,Jazzman,Greatest Hits,Pure Prairie League,1999,1999-09-14
,Early Morning Riser,Greatest Hits,Pure Prairie League,1999,1999-09-14
,Angel #9,Greatest Hits,Pure Prairie League,1999,1999-09-14
,Boulder Skies,Greatest Hits,Pure Prairie League,1999,1999-09-14
,"Call Me, Tell Me",Greatest Hits,Pure Prairie League,1999,1999-09-14
,Angel,Greatest Hits,Pure Prairie League,1999,1999-09-14
,She Darked The Sun,Greatest Hits,Pure Prairie League,1999,1999-09-14
,Just Cant Believe It,Greatest Hits,Pure Prairie League,1999,1999-09-14
,Two Lane Highway,Greatest Hits,Pure Prairie League,1999,1999-09-14
,Thatll Be the Day,Greatest Hits,Pure Prairie League,1999,1999-09-14
,Goin Home,Greatest Hits,Pure Prairie League,1999,1999-09-14
,Hello,Drowning By Proxy,Full Catastrophe Living,2009,2009-05-01
,Drowning By Proxy,Drowning By Proxy,Full Catastrophe Living,2009,2009-05-01
,The New Rage,Drowning By Proxy,Full Catastrophe Living,2009,2009-05-01
,Recall,Drowning By Proxy,Full Catastrophe Living,2009,2009-05-01
,Burn the Other Hand,Drowning By Proxy,Full Catastrophe Living,2009,2009-05-01
,Red Tangle (Version),Drowning By Proxy,Full Catastrophe Living,2009,2009-05-01
,Simple,Drowning By Proxy,Full Catastrophe Living,2009,2009-05-01
,Cut,Drowning By Proxy,Full Catastrophe Living,2009,2009-05-01
,Ride Into the Sun,Drowning By Proxy,Full Catastrophe Living,2009,2009-05-01
,Sunset Gun,Drowning By Proxy,Full Catastrophe Living,2009,2009-05-01
,Strange,Drowning By Proxy,Full Catastrophe Living,2009,2009-05-01
,Home,Drowning By Proxy,Full Catastrophe Living,2009,2009-05-01
,(Youll Be) Satisfied,Annunciation,The Subdudes,1994,1994-03-14
,Why Cant I Forget About You,Annunciation,The Subdudes,1994,1994-03-14
,Angel To Be,Annunciation,The Subdudes,1994,1994-03-14
,I Know,Annunciation,The Subdudes,1994,1994-03-14
,Late At Night,Annunciation,The Subdudes,1994,1994-03-14
,Miss Love,Annunciation,The Subdudes,1994,1994-03-14
,Poverty,Annunciation,The Subdudes,1994,1994-03-14
,Message Man,Annunciation,The Subdudes,1994,1994-03-14
,Save Me,Annunciation,The Subdudes,1994,1994-03-14
,Fountains Flow,Annunciation,The Subdudes,1994,1994-03-14
,Cold Nights,Annunciation,The Subdudes,1994,1994-03-14
,Sugar Pie,Annunciation,The Subdudes,1994,1994-03-14
,Its So Hard,Annunciation,The Subdudes,1994,1994-03-14
,Ases y Tercia de Reyes,Con El Mariachi Vargas De Tecalitlan (with El Mariachi Vargas de Tecalitlán),Juan Gabriel,1996,1996-01-11
,Lágrimas y Lluvia,Con El Mariachi Vargas De Tecalitlan (with El Mariachi Vargas de Tecalitlán),Juan Gabriel,1996,1996-01-11
,Se Me Olvidó Otra Vez,Con El Mariachi Vargas De Tecalitlan (with El Mariachi Vargas de Tecalitlán),Juan Gabriel,1996,1996-01-11
,Esta Noche Voy a Verla,Con El Mariachi Vargas De Tecalitlan (with El Mariachi Vargas de Tecalitlán),Juan Gabriel,1996,1996-01-11
,La Muerte del Palomo,Con El Mariachi Vargas De Tecalitlan (with El Mariachi Vargas de Tecalitlán),Juan Gabriel,1996,1996-01-11
,Estoy Enamorado de Ti,Con El Mariachi Vargas De Tecalitlan (with El Mariachi Vargas de Tecalitlán),Juan Gabriel,1996,1996-01-11
,Qué Chasco Me Llevé,Con El Mariachi Vargas De Tecalitlan (with El Mariachi Vargas de Tecalitlán),Juan Gabriel,1996,1996-01-11
,Que Sea Mi Condena,Con El Mariachi Vargas De Tecalitlan (with El Mariachi Vargas de Tecalitlán),Juan Gabriel,1996,1996-01-11
,Si Dios Me Ayuda,Con El Mariachi Vargas De Tecalitlan (with El Mariachi Vargas de Tecalitlán),Juan Gabriel,1996,1996-01-11
,¿Dónde Andará?,Con El Mariachi Vargas De Tecalitlan (with El Mariachi Vargas de Tecalitlán),Juan Gabriel,1996,1996-01-11
,Mañana Te Acordaras,Con El Mariachi Vargas De Tecalitlan (with El Mariachi Vargas de Tecalitlán),Juan Gabriel,1996,1996-01-11
,The End Is The Same As The Beginning,La Place Demon,"Tied & Tickled Trio, Billy Hart",2011,2011-04-01
,The Three Doors Pt. 1,La Place Demon,"Tied & Tickled Trio, Billy Hart",2011,2011-04-01
,Calaca,La Place Demon,"Tied & Tickled Trio, Billy Hart",2011,2011-04-01
,Violent Collaborations Pt. 1,La Place Demon,"Tied & Tickled Trio, Billy Hart",2011,2011-04-01
,The Three Doors Pt. 2,La Place Demon,"Tied & Tickled Trio, Billy Hart",2011,2011-04-01
,Violent Collaborations Pt. 2,La Place Demon,"Tied & Tickled Trio, Billy Hart",2011,2011-04-01
,Lonely Woman  Exit La Place Demon  The Electronic Family,La Place Demon,"Tied & Tickled Trio, Billy Hart",2011,2011-04-01
,The Three Doors Pt. 3,La Place Demon,"Tied & Tickled Trio, Billy Hart",2011,2011-04-01
,Ghost Allaround,La Place Demon,"Tied & Tickled Trio, Billy Hart",2011,2011-04-01
,Lash the Nineties,Generation Starwars,Alec Empire,2000,2000
,Stahl Und Blausaure,Generation Starwars,Alec Empire,2000,2000
,13465,Generation Starwars,Alec Empire,2000,2000
,Maschinenvolk,Generation Starwars,Alec Empire,2000,2000
,Sonyprostitutes,Generation Starwars,Alec Empire,2000,2000
,Bluterote Nacht Uber Berlin,Generation Starwars,Alec Empire,2000,2000
,Pussy Heroin,Generation Starwars,Alec Empire,2000,2000
,New Acid,Generation Starwars,Alec Empire,2000,2000
,Smack,Generation Starwars,Alec Empire,2000,2000
,N.Y. Summer 1,Generation Starwars,Alec Empire,2000,2000
,Konsumfreiheit,Generation Starwars,Alec Empire,2000,2000
,Microchipkinder,Generation Starwars,Alec Empire,2000,2000
,Sieg Uber Die Mayday,Generation Starwars,Alec Empire,2000,2000
,Playback Play,Kagel: Playback Play,"Mauricio Kagel, Ensemble Musikfabrik",2014,2014-08-01
,Grass String Ranch,Songs From The Grass String Ranch,The Kentucky Headhunters,2000,2000-08-08
,Back To The Sun,Songs From The Grass String Ranch,The Kentucky Headhunters,2000,2000-08-08
,Jessico,Songs From The Grass String Ranch,The Kentucky Headhunters,2000,2000-08-08
,Once In A While,Songs From The Grass String Ranch,The Kentucky Headhunters,2000,2000-08-08
,Love That Woman,Songs From The Grass String Ranch,The Kentucky Headhunters,2000,2000-08-08
,Too Much To Lose,Songs From The Grass String Ranch,The Kentucky Headhunters,2000,2000-08-08
,Louisianna Coco,Songs From The Grass String Ranch,The Kentucky Headhunters,2000,2000-08-08
,Country Life,Songs From The Grass String Ranch,The Kentucky Headhunters,2000,2000-08-08
,Dry-land Fish,Songs From The Grass String Ranch,The Kentucky Headhunters,2000,2000-08-08
,The Dreamin Kind,Songs From The Grass String Ranch,The Kentucky Headhunters,2000,2000-08-08
,I Wish I Knew,Songs From The Grass String Ranch,The Kentucky Headhunters,2000,2000-08-08
,Rock On,Songs From The Grass String Ranch,The Kentucky Headhunters,2000,2000-08-08
,Fomf (Fuck out My Face),Fomf (Fuck out My Face),Nuckles,2017,2017-12-28
,By The Side Of The Road,Baptizing,The Seldom Scene,2005,2005-04-19
,Brother John,Baptizing,The Seldom Scene,2005,2005-04-19
,Dreaming Of A Little Cabin,Baptizing,The Seldom Scene,2005,2005-04-19
,Falling Leaves,Baptizing,The Seldom Scene,2005,2005-04-19
,He Took Your Place,Baptizing,The Seldom Scene,2005,2005-04-19
,Take Him In,Baptizing,The Seldom Scene,2005,2005-04-19
,Hobo On A Freight Train To Heaven,Baptizing,The Seldom Scene,2005,2005-04-19
,Will You Be Ready To Go Home?,Baptizing,The Seldom Scene,2005,2005-04-19
,Were You There?,Baptizing,The Seldom Scene,2005,2005-04-19
,Walk With Him Again,Baptizing,The Seldom Scene,2005,2005-04-19
,Gospel Medley,Baptizing,The Seldom Scene,2005,2005-04-19
,Anthem for the Year 2000,The Best Of - Volume One,Silverchair,2000,2000-11-28
,Freak,The Best Of - Volume One,Silverchair,2000,2000-11-28
,Anas Song (Open Fire),The Best Of - Volume One,Silverchair,2000,2000-11-28
,Emotion Sickness,The Best Of - Volume One,Silverchair,2000,2000-11-28
,Israels Son,The Best Of - Volume One,Silverchair,2000,2000-11-28
,Tomorrow,The Best Of - Volume One,Silverchair,2000,2000-11-28
,Cemetery,The Best Of - Volume One,Silverchair,2000,2000-11-28
,The Door,The Best Of - Volume One,Silverchair,2000,2000-11-28
,Miss You Love,The Best Of - Volume One,Silverchair,2000,2000-11-28
,Abuse Me,The Best Of - Volume One,Silverchair,2000,2000-11-28
,Pure Massacre,The Best Of - Volume One,Silverchair,2000,2000-11-28
,Untitled,The Best Of - Volume One,Silverchair,2000,2000-11-28
,New Race,The Best Of - Volume One,Silverchair,2000,2000-11-28
,Trash,The Best Of - Volume One,Silverchair,2000,2000-11-28
,Anas Song (Open Fire) - Acoustic Re-Mix,The Best Of - Volume One,Silverchair,2000,2000-11-28
,Madman - Vocal Mix,The Best Of - Volume One,Silverchair,2000,2000-11-28
,Blind,The Best Of - Volume One,Silverchair,2000,2000-11-28
,Punk Song 2,The Best Of - Volume One,Silverchair,2000,2000-11-28
,Wasted    Fix Me,The Best Of - Volume One,Silverchair,2000,2000-11-28
,Minor Threat,The Best Of - Volume One,Silverchair,2000,2000-11-28
,Freak - Remix for Us Rejects,The Best Of - Volume One,"Silverchair, Paul Mac",2000,2000-11-28
,Running Up The Stairs,Great Big Boy,Leo Kottke,1991,1991-07-18
,The Other Day (Near Santa Cruz),Great Big Boy,Leo Kottke,1991,1991-07-18
,Great Big Boy,Great Big Boy,Leo Kottke,1991,1991-07-18
,Driver,Great Big Boy,Leo Kottke,1991,1991-07-18
,Pepe Hush,Great Big Boy,Leo Kottke,1991,1991-07-18
,Big Mob On The Hill,Great Big Boy,Leo Kottke,1991,1991-07-18
,Ice Cream,Great Big Boy,Leo Kottke,1991,1991-07-18
,Nothin Works,Great Big Boy,Leo Kottke,1991,1991-07-18
,Summers Growing Old,Great Big Boy,Leo Kottke,1991,1991-07-18
,I Still Miss Someone,Great Big Boy,Leo Kottke,1991,1991-07-18
,Hawks Circle the Mountain,Terminal Twilight,White Willow,2011,2011-08-11
,Snowswept,Terminal Twilight,White Willow,2011,2011-08-11
,Kansas Regrets,Terminal Twilight,White Willow,2011,2011-08-11
,Red Leaves,Terminal Twilight,White Willow,2011,2011-08-11
,Floor 67,Terminal Twilight,White Willow,2011,2011-08-11
,Natasha of the Burning Woods,Terminal Twilight,White Willow,2011,2011-08-11
,Searise,Terminal Twilight,White Willow,2011,2011-08-11
,A Rumour of Twilight,Terminal Twilight,White Willow,2011,2011-08-11
,The Howling Wind,Terminal Twilight,White Willow,2011,2011-08-11
,Harass Me,Harass Me,Nuckles,2018,2018-12-06
,Chow Down,Sickem,7 Year Bitch,1992,1992-05-01
,Tired Of Nothing,Sickem,7 Year Bitch,1992,1992-05-01
,Knot,Sickem,7 Year Bitch,1992,1992-05-01
,In Lust You Trust,Sickem,7 Year Bitch,1992,1992-05-01
,Sink,Sickem,7 Year Bitch,1992,1992-05-01
,Gun,Sickem,7 Year Bitch,1992,1992-05-01
,Lorna,Sickem,7 Year Bitch,1992,1992-05-01
,You Smell Lonely,Sickem,7 Year Bitch,1992,1992-05-01
,No Fucking War,Sickem,7 Year Bitch,1992,1992-05-01
,Dead Men Dont Rape,Sickem,7 Year Bitch,1992,1992-05-01
,8-Ball Deluxe,Sickem,7 Year Bitch,1992,1992-05-01
,Can We Laugh Now ?,Sickem,7 Year Bitch,1992,1992-05-01
,Girl Germs,Kill Rock Stars,Bratmobile,2005,2005
,Loch Ness,Kill Rock Stars,Some Velvet Sidewalk,2005,2005
,Dont Mix the Colors,Kill Rock Stars,Courtney Love,2005,2005
,N.O.U. Cooking With Gas!,Kill Rock Stars,Nation of Ulysses,2005,2005
,You Speak Jealousy,Kill Rock Stars,Unwound,2005,2005
,Narrow,Kill Rock Stars,Mecca Normal,2005,2005
,My Red Self,Kill Rock Stars,Heavens To Betsy,2005,2005
,"Strong, Warm, and in Command",Kill Rock Stars,Steve Fisk,2005,2005
,Feels Blind,Kill Rock Stars,Bikini Kill,2005,2005
,Reaper Song,Kill Rock Stars,Witchy Poo,2005,2005
,Ever Since My Accident,Kill Rock Stars,Melvins,2005,2005
,Immediate Impound Zone,Kill Rock Stars,Infamous Menagerie,2005,2005
,Make You Come,Kill Rock Stars,Kicking Giant,2005,2005
,Everybody and Their Dog,Kill Rock Stars,Fitz of Depression,2005,2005
,Red Dress,Kill Rock Stars,Jad Fair,2005,2005
,8-Ball Deluxe,Kill Rock Stars,7 Year Bitch,2005,2005
,I.O.U.,Kill Rock Stars,Kreviss,2005,2005
,You Will Be A Hot Dancer,Enjoy Incubus,Incubus,1997,1997
,Shaft,Enjoy Incubus,Incubus,1997,1997
,Take Me to Your Leader,Enjoy Incubus,Incubus,1997,1997
,Version,Enjoy Incubus,Incubus,1997,1997
,Azwethinkweiz,Enjoy Incubus,Incubus,1997,1997
,Hilikus,Enjoy Incubus,Incubus,1997,1997
,Hidden Bonus,Enjoy Incubus,Incubus,1997,1997
,My Squad (Moskva),My Squad (Moskva),Nuckles,2019,2019-03-06
,Good Clean Fun,Seven Turns,Allman Brothers Band,1990,1990-07-03
,Let Me Ride,Seven Turns,Allman Brothers Band,1990,1990-07-03
,Low Down Dirty Mean,Seven Turns,Allman Brothers Band,1990,1990-07-03
,Shine It On,Seven Turns,Allman Brothers Band,1990,1990-07-03
,Loaded Dice,Seven Turns,Allman Brothers Band,1990,1990-07-03
,Seven Turns,Seven Turns,Allman Brothers Band,1990,1990-07-03
,Gamblers Roll,Seven Turns,Allman Brothers Band,1990,1990-07-03
,True Gravity,Seven Turns,Allman Brothers Band,1990,1990-07-03
,It Aint Over Yet,Seven Turns,Allman Brothers Band,1990,1990-07-03
,The Devil Went Down to Georgia,A Decade Of Hits,The Charlie Daniels Band,1973,1973
,The Souths Gonna Do It Again,A Decade Of Hits,The Charlie Daniels Band,1973,1973
,Strokers Theme,A Decade Of Hits,The Charlie Daniels Band,1973,1973
,Uneasy Rider,A Decade Of Hits,The Charlie Daniels Band,1973,1973
,Let It Roll,A Decade Of Hits,The Charlie Daniels Band,1973,1973
,In America,A Decade Of Hits,The Charlie Daniels Band,1973,1973
,Still In Saigon,A Decade Of Hits,The Charlie Daniels Band,1973,1973
,Long Haired Country Boy,A Decade Of Hits,The Charlie Daniels Band,1973,1973
,The Legend Of Wooley Swamp,A Decade Of Hits,The Charlie Daniels Band,1973,1973
,Everytime I See Him,A Decade Of Hits,The Charlie Daniels Band,1973,1973
,Not Quite You and Me,Stories I Could Tell,Rebecca Hickman,2010,2010-01-22
,34 to 96,Stories I Could Tell,Rebecca Hickman,2010,2010-01-22
,Serenity,Stories I Could Tell,Rebecca Hickman,2010,2010-01-22
,Ridin Shotgun,Stories I Could Tell,Rebecca Hickman,2010,2010-01-22
,Simple,Stories I Could Tell,Rebecca Hickman,2010,2010-01-22
,Across the Pond,Stories I Could Tell,Rebecca Hickman,2010,2010-01-22
,Wild Ride,Stories I Could Tell,Rebecca Hickman,2010,2010-01-22
,This Dance,Stories I Could Tell,Rebecca Hickman,2010,2010-01-22
,Dave,Stories I Could Tell,Rebecca Hickman,2010,2010-01-22
,66 Falcon,Stories I Could Tell,Rebecca Hickman,2010,2010-01-22
,Return to Tunguska,A Valid Path,Alan Parsons,2004,2004
,More Lost Without You,A Valid Path,Alan Parsons,2004,2004
,Mammagamma 04,A Valid Path,Alan Parsons,2004,2004
,We Play the Game,A Valid Path,Alan Parsons,2004,2004
,Tijuaniac,A Valid Path,Alan Parsons,2004,2004
,L’Arc en Ciel,A Valid Path,Alan Parsons,2004,2004
,A Recurring Dream Within a Dream,A Valid Path,Alan Parsons,2004,2004
,You Can Run,A Valid Path,Alan Parsons,2004,2004
,Chomolungma,A Valid Path,Alan Parsons,2004,2004
,The Wizard - Live,Ozzfest 2001 The Second Millennium,Black Sabbath,2001,2001-08-14
,The Love Song - Live,Ozzfest 2001 The Second Millennium,Marilyn Manson,2001,2001-08-14
,New Abortion - Live,Ozzfest 2001 The Second Millennium,Slipknot,2001,2001-08-14
,Blood Brothers - Live,Ozzfest 2001 The Second Millennium,Papa Roach,2001,2001-08-14
,With You - Live,Ozzfest 2001 The Second Millennium,Linkin Park,2001,2001-08-14
,Super Terrorizer - Live,Ozzfest 2001 The Second Millennium,"""Zakk Wyldes Black Label Society""",2001,2001-08-14
,Fear - Live,Ozzfest 2001 The Second Millennium,Disturbed,2001,2001-08-14
,Death Blooms - Live Ozzfest 01,Ozzfest 2001 The Second Millennium,Mudvayne,2001,2001-08-14
,Bodies - Live,Ozzfest 2001 The Second Millennium,Drowning Pool,2001,2001-08-14
,South Texas Deathride - Live Ozzfest 01,Ozzfest 2001 The Second Millennium,The Union Underground,2001,2001-08-14
,Fillthee - Live,Ozzfest 2001 The Second Millennium,Otep,2001,2001-08-14
,What a Day - Live,Ozzfest 2001 The Second Millennium,Nonpoint,2001,2001-08-14
,Last Breath - Live,Ozzfest 2001 The Second Millennium,Hatebreed,2001,2001-08-14
,Deep Colors Bleed - Live,Ozzfest 2001 The Second Millennium,Systematic,2001,2001-08-14
,Kiss of Death - Live,Ozzfest 2001 The Second Millennium,Pure Rubbish,2001,2001-08-14
,Reach And Touch - Live Ozzfest 01,Ozzfest 2001 The Second Millennium,American Head Charge,2001,2001-08-14
,Life Goes On,Twisted Angel,LeAnn Rimes,2002,2002-10-01
,Wound Up,Twisted Angel,LeAnn Rimes,2002,2002-10-01
,The Safest Place,Twisted Angel,LeAnn Rimes,2002,2002-10-01
,Trouble With Goodbye,Twisted Angel,LeAnn Rimes,2002,2002-10-01
,Damn,Twisted Angel,LeAnn Rimes,2002,2002-10-01
,Suddenly,Twisted Angel,LeAnn Rimes,2002,2002-10-01
,Tic Toc,Twisted Angel,LeAnn Rimes,2002,2002-10-01
,Sign Of Life,Twisted Angel,LeAnn Rimes,2002,2002-10-01
,Review My Kisses,Twisted Angel,LeAnn Rimes,2002,2002-10-01
,No Way Out,Twisted Angel,LeAnn Rimes,2002,2002-10-01
,Love Is An Army,Twisted Angel,LeAnn Rimes,2002,2002-10-01
,You Made Me Find Myself,Twisted Angel,LeAnn Rimes,2002,2002-10-01
,Twisted Angel,Twisted Angel,LeAnn Rimes,2002,2002-10-01
,Intro,Side Effects,Reflected Illusions,2008,2008-12-18
,Alkaloids,Side Effects,Reflected Illusions,2008,2008-12-18
,Lysergic Daydreaming,Side Effects,Reflected Illusions,2008,2008-12-18
,Sweep The Light,Side Effects,Reflected Illusions,2008,2008-12-18
,Endless Night,Side Effects,Reflected Illusions,2008,2008-12-18
,Side Effects,Side Effects,Reflected Illusions,2008,2008-12-18
,Lola,Lola,"Iggy Azalea, Alice Chater",2019,2019-11-08
,For the Last Time,In the Machine,In the Machine,2011,2011-04-11
,Out of My Head,In the Machine,In the Machine,2011,2011-04-11
,Running,In the Machine,In the Machine,2011,2011-04-11
,Bury Me,In the Machine,In the Machine,2011,2011-04-11
,Forgive,In the Machine,In the Machine,2011,2011-04-11
,UnAmericant,In the Machine,In the Machine,2011,2011-04-11
,All the Lies,In the Machine,In the Machine,2011,2011-04-11
,Never Let Go,In the Machine,In the Machine,2011,2011-04-11
,Waste Away,In the Machine,In the Machine,2011,2011-04-11
,Another Side of Me,In the Machine,In the Machine,2011,2011-04-11
,I Am Not the Enemy,In the Machine,In the Machine,2011,2011-04-11
,Every Night About This Time,Magic Sam Live,Magic Sam,1990,1990-01-01
,Dont Believe Youd Let Me Down,Magic Sam Live,Magic Sam,1990,1990-01-01
,Moles Blues,Magic Sam Live,Magic Sam,1990,1990-01-01
,I Just Got To Know,Magic Sam Live,Magic Sam,1990,1990-01-01
,Tore Down,Magic Sam Live,Magic Sam,1990,1990-01-01
,You Were Wrong,Magic Sam Live,Magic Sam,1990,1990-01-01
,Backstroke,Magic Sam Live,Magic Sam,1990,1990-01-01
,Come On InThis House,Magic Sam Live,Magic Sam,1990,1990-01-01
,Riding High,Magic Sam Live,Magic Sam,1990,1990-01-01
,San-Ho-Say,Magic Sam Live,Magic Sam,1990,1990-01-01
,I Need You So Bad,Magic Sam Live,Magic Sam,1990,1990-01-01
,Strange Things Happening,Magic Sam Live,Magic Sam,1990,1990-01-01
,I Feel So Good,Magic Sam Live,Magic Sam,1990,1990-01-01
,All Your Love,Magic Sam Live,Magic Sam,1990,1990-01-01
,Sweet Home Chicago,Magic Sam Live,Magic Sam,1990,1990-01-01
,Looking Good,Magic Sam Live,Magic Sam,1990,1990-01-01
,Looking Good,Magic Sam Live,Magic Sam,1990,1990-01-01
,Mini Overture,New Standards,"Witold Lutosławski, Axiom Brass",2010,2010-11-16
,"Brass Quintet No. 2, Op. 6: I. Allegro risoluto",New Standards,"Victor Ewald, Axiom Brass",2010,2010-11-16
,"Brass Quintet No. 2, Op. 6: II. Thema con variazioni",New Standards,"Victor Ewald, Axiom Brass",2010,2010-11-16
,"Brass Quintet No. 2, Op. 6: III. Allegro vivace",New Standards,"Victor Ewald, Axiom Brass",2010,2010-11-16
,Fanfare,New Standards,"Cliff Colnot, Axiom Brass",2010,2010-11-16
,"Frost Fire, I. Bright and Fast",New Standards,"Eric Ewazen, Axiom Brass",2010,2010-11-16
,"Frost Fire, II. Gentle and Mysterious",New Standards,"Eric Ewazen, Axiom Brass",2010,2010-11-16
,"Frost Fire, III. Tense and Dramatic",New Standards,"Eric Ewazen, Axiom Brass",2010,2010-11-16
,Brass Quintet,New Standards,"Anders Hillborg, Axiom Brass",2010,2010-11-16
,"Four Pieces for Brass Quintet, No. 1. Wapango",New Standards,"""Paquito DRivera"", Axiom Brass",2010,2010-11-16
,"Four Pieces for Brass Quintet, No. 2. Danzón",New Standards,"""Paquito DRivera"", Axiom Brass",2010,2010-11-16
,"Four Pieces for Brass Quintet, No. 3. El Cura",New Standards,"""Paquito DRivera"", Axiom Brass",2010,2010-11-16
,Submarine (Depth Charge Mix by Saru),Submarine,Cranes,2002,2002-04-22
,Dont Wake Me Up (Paul Smith Remix),Submarine,Cranes,2002,2002-04-22
,Dont Wake Me Up (Remixed by Tripnotic),Submarine,Cranes,2002,2002-04-22
,Driving in the Sun (Re-Mix by Dimitri Tikovöi),Submarine,Cranes,2002,2002-04-22
,Submarine (Greg Longs Patina Mix),Submarine,Cranes,2002,2002-04-22
,Dont Wake Me Up (Wednesday Catnap Remix by Dietrich Schoenemann),Submarine,Cranes,2002,2002-04-22
,Submarine (Jack Dangers Remix),Submarine,Cranes,2002,2002-04-22
,Submarine (Thin Men Remix),Submarine,Cranes,2002,2002-04-22
,Walk On the Ocean,fear,Toad The Wet Sprocket,1991,1991-08-27
,Is It For Me,fear,Toad The Wet Sprocket,1991,1991-08-27
,Butterflies,fear,Toad The Wet Sprocket,1991,1991-08-27
,Nightingale Song,fear,Toad The Wet Sprocket,1991,1991-08-27
,Hold Her Down,fear,Toad The Wet Sprocket,1991,1991-08-27
,Pray Your Gods,fear,Toad The Wet Sprocket,1991,1991-08-27
,Before You Were Born,fear,Toad The Wet Sprocket,1991,1991-08-27
,Something to Say,fear,Toad The Wet Sprocket,1991,1991-08-27
,In My Ear,fear,Toad The Wet Sprocket,1991,1991-08-27
,All I Want,fear,Toad The Wet Sprocket,1991,1991-08-27
,Stories I Tell,fear,Toad The Wet Sprocket,1991,1991-08-27
,I Will Not Take These Things for Granted,fear,Toad The Wet Sprocket,1991,1991-08-27
,Undercover,Cheap Date,Pete Yorn,2003,2003-01-21
,Attack of the Ghost Riders,Cheap Date,The Raveonettes,2003,2003-01-21
,In A Young Mans Mind,Cheap Date,The Mooney Suzuki,2003,2003-01-21
,Hows Your Sister,Cheap Date,Flick,2003,2003-01-21
,Breathing - Radio Edit,Cheap Date,Stereomud,2003,2003-01-21
,Nothing Sacred,Cheap Date,Memento,2003,2003-01-21
,Guilt,Cheap Date,Fingertight,2003,2003-01-21
,In This Diary - Old Album Version-Do Not Use,Cheap Date,The Ataris,2003,2003-01-21
,Chemical,Cheap Date,Start Trouble,2003,2003-01-21
,freetime,Cheap Date,Kenna,2003,2003-01-21
,Cold,Cheap Date,Crossfade,2003,2003-01-21
,Four Letter Word,Cheap Date,Head On,2003,2003-01-21
,Simple Lies,Cheap Date,Endo,2003,2003-01-21
,Dreaming of You,Cheap Date,The Coral,2003,2003-01-21
,Bluff City Ruckus - Sampler Version,Cheap Date,Porch Ghouls,2003,2003-01-21
,Screw Up,Cheap Date,Overseer,2003,2003-01-21
,Cramond Island Causeway,Seafieldroad,Seafieldroad,2011,2011-11-21
,What Became Of Pinky And Honker,Seafieldroad,Seafieldroad,2011,2011-11-21
,I Just Want To Sledge With My Baby,Seafieldroad,Seafieldroad,2011,2011-11-21
,The Warplanes Are Blitzing The Town,Seafieldroad,Seafieldroad,2011,2011-11-21
,There Is A Train That Goes Thousands Of Miles Away,Seafieldroad,Seafieldroad,2011,2011-11-21
,You Are The Only Place On The Map,Seafieldroad,Seafieldroad,2011,2011-11-21
,The Coastal Path,Seafieldroad,Seafieldroad,2011,2011-11-21
,Walking On A Dream,Seafieldroad,Seafieldroad,2011,2011-11-21
,Pit Viper,Isolate,Deathbreaker,2020,2020-05-29
,Spite,Isolate,Deathbreaker,2020,2020-05-29
,Vagabond,Isolate,"Deathbreaker, Jeremy Schaeffer",2020,2020-05-29
,Alone,Isolate,Deathbreaker,2020,2020-05-29
,Choke,Isolate,Deathbreaker,2020,2020-05-29
,Blackout,Isolate,Deathbreaker,2020,2020-05-29
,Strangers,Isolate,Deathbreaker,2020,2020-05-29
,The Compass,Isolate,Deathbreaker,2020,2020-05-29
,Fear,Isolate,Deathbreaker,2020,2020-05-29
,Hollow,Isolate,Deathbreaker,2020,2020-05-29
,Fire Dancer,Groove Tribe,David & Steve Gordon,2011,2011-09-13
