,name,album,artists,year,release_date
,Testify,The Battle Of Los Angeles,Rage Against The Machine,1999,1999-11-02
,Guerrilla Radio,The Battle Of Los Angeles,Rage Against The Machine,1999,1999-11-02
,Calm Like a Bomb,The Battle Of Los Angeles,Rage Against The Machine,1999,1999-11-02
,Mic Check,The Battle Of Los Angeles,Rage Against The Machine,1999,1999-11-02
,Sleep Now In the Fire,The Battle Of Los Angeles,Rage Against The Machine,1999,1999-11-02
,Born of a Broken Man,The Battle Of Los Angeles,Rage Against The Machine,1999,1999-11-02
,Born As Ghosts,The Battle Of Los Angeles,Rage Against The Machine,1999,1999-11-02
,Maria,The Battle Of Los Angeles,Rage Against The Machine,1999,1999-11-02
,Voice of the Voiceless,The Battle Of Los Angeles,Rage Against The Machine,1999,1999-11-02
,New Millennium Homes,The Battle Of Los Angeles,Rage Against The Machine,1999,1999-11-02
,Ashes In the Fall,The Battle Of Los Angeles,Rage Against The Machine,1999,1999-11-02
,War Within a Breath,The Battle Of Los Angeles,Rage Against The Machine,1999,1999-11-02
,Bombtrack,Rage Against The Machine,Rage Against The Machine,1992,1992-11-03
,Killing In the Name,Rage Against The Machine,Rage Against The Machine,1992,1992-11-03
,Take the Power Back,Rage Against The Machine,Rage Against The Machine,1992,1992-11-03
,Settle for Nothing,Rage Against The Machine,Rage Against The Machine,1992,1992-11-03
,Bullet In the Head,Rage Against The Machine,Rage Against The Machine,1992,1992-11-03
,Know Your Enemy,Rage Against The Machine,Rage Against The Machine,1992,1992-11-03
,Wake Up,Rage Against The Machine,Rage Against The Machine,1992,1992-11-03
,Fistful of Steel,Rage Against The Machine,Rage Against The Machine,1992,1992-11-03
,Township Rebellion,Rage Against The Machine,Rage Against The Machine,1992,1992-11-03
,Freedom,Rage Against The Machine,Rage Against The Machine,1992,1992-11-03
,Man on a Mission,Do It for Love,Daryl Hall & John Oates,2018,2018-04-10
,Do It for Love,Do It for Love,Daryl Hall & John Oates,2018,2018-04-10
,Someday Well Know,Do It for Love,Daryl Hall & John Oates,2018,2018-04-10
